clan;year;session;location;landmark_id;utme;utmn
talek;2005;t54415;o;Fig_Tree_Lugga_-_Top;744243;9840342
talek;2005;t54416;o;Fig_Tree_Lugga_-_Top;743971;9839772
talek;2005;t54417;o;Middle_SRL_X;752483;9836855
talek;2005;t54418;o;Fisi_Camp;752266;9838109
talek;2005;t54420;d;Summer_Den;753495;9837319
talek;2005;t54421;o;Leopard_Crossing;752195;9837348
talek;2005;t54422;o;LB_X;743914;9838492
talek;2005;t54423;o;BB_X;743774;9839534
talek;2005;t54424;o;Fig_Tree_Lugga_-_Top;743692;9840360
talek;2005;t54425;d;Fever_Tree_Natal_Den/Communal_Den_Complex;753681;9837484
talek;2005;t54426;o;Suicide_X;751860;9837546
talek;2005;t54427;o;Leopard_Crossing;751907;9837228
talek;2005;t54428;o;FF;752029;9836160
talek;2005;t54429;o;Eleanor_T;752156;9835549
talek;2005;t54430;o;Concrete_X;751863;9835073
talek;2005;t54432;o;Baboon_T;753243;9836920
talek;2005;t54433;o;Border_Tree;745508;9838429
talek;2005;t54434;o;Maji_Fisi;744719;9838181
talek;2005;t54435;o;T_Stop;744921;9837819
talek;2005;t54437;k;T_Stop;745111;9837222
talek;2005;t54447;o;Baboon_Tree;752028;9836919
talek;2005;t54448;o;Fig_Tree_Lugga_-_Top;744197;9839825
talek;2005;t54449;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54450;o;Border_Tree;745224;9838641
talek;2005;t54451;o;FT_L;752329;9837170
talek;2005;t54452;o;Hi_Step_X;752662;9835361
talek;2005;t54453;d;Fever_Tree_Natal_Den/Communal_Den_Complex;753681;9837484
talek;2005;t54454;d;Summer_Den;753495;9837319
talek;2005;t54455;d;Sunrise_Valley_Communal_Den/Natal_Den;753524;9837427
talek;2005;t54456;o;Border_Tree;745153;9838697
talek;2005;t54458;o;Maji_Fisi;745018;9838398
talek;2005;t54459;o;Maji_Fisi;745018;9838398
talek;2005;t54460;o;Aardwolf_CD;745421;9838128
talek;2005;t54463;o;Talek_Lugga_Crossing;745099;9840066
talek;2005;t54467;o;Maji_Fisi;745018;9838398
talek;2005;t54468;o;Maji_Fisi;744699;9838850
talek;2005;t54469;o;Maji_Fisi;744875;9838124
talek;2005;t54470;o;Maji_Fisi;745018;9838398
talek;2005;t54471;o;Fig_Tree_Lugga_-_Top;744171;9839847
talek;2005;t54472;o;T_Stop;744533;9836777
talek;2005;t54473;d;No_See_Em_Den;744984;9840806
talek;2005;t54474;o;Fig_Tree_Lugga_-_Top;744159;9839770
talek;2005;t54475;o;Fig_Tree_Lugga_-_Top;744489;9841000
talek;2005;t54476;o;Maji_Fisi;745018;9838398
talek;2005;t54477;o;Maji_Fisi;745018;9838398
talek;2005;t54478;o;Border_Tree;745460;9838633
talek;2005;t54479;o;Rocky_Place;752687;9836115
talek;2005;t54482;o;Simba_Bridge;755004;9836991
talek;2005;t54483;o;Masai_X;754335;9837182
talek;2005;t54486;o;FT_L_X;743526;9840697
talek;2005;t54487;o;Top_TL;744373;9839969
talek;2005;t54488;c;LB_X;744359;9838497
talek;2005;t54489;k;LB_X;744278;9838393
talek;2005;t54490;o;Big_B_X;743710;9839524
talek;2005;t54491;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54492;c;Maji_Fisi;744968;9838423
talek;2005;t54494;o;LB_X;744330;9838544
talek;2005;t54495;o;Hi_Step_X;753146;9835411
talek;2005;t54496;o;Hi_Step_X;753158;9835371
talek;2005;t54498;d;Fever_Tree_Natal_Den/Communal_Den_Complex;753681;9837484
talek;2005;t54499;o;Baboon_T;752086;9837203
