session;landmark_id;date;year;month;clan;utme;utmn;category
s13135;Whooping_Cami_Den;2014-12-01;2014;12;happyzebra;718655;9836894;cd
s1317;Disappointment_Den;2008-07-01;2008;07;serenan;721449;9846717;cd
s13200;Schiphol_Den;2014-01-04;2014;01;serenan;723441;9844921;cd
s1325;Airstrip_Den;2008-07-06;2008;07;serenan;723463;9844931;d
s13301;Schiphol_Den;2014-02-01;2014;02;serenan;723441;9844921;cd
s1337;Redemption_Den;2008-07-10;2008;07;serenan;722500;9844773;cd
s134;Holy_Grail_Den_II;2008-09-18;2008;09;happyzebra;718859;9840103;cd
s13462;Schiphol_Den;2014-03-01;2014;03;serenan;723441;9844921;cd
s13557.1;DeGaulle_Den;2014-03-21;2014;03;serenan;723652;9844975;cd
s13621;Schiphol_Den;2014-04-01;2014;04;serenan;723441;9844921;cd
s13802;Uji_Den;2014-05-03;2014;05;serenan;723067;9846159;cd
s13908;Uji_Den;2014-06-02;2014;06;serenan;723067;9846159;cd
s1407;Runway_Den;2008-08-01;2008;08;serenan;723060;9844579;cd
s1408;Runway_Den_II;2008-08-01;2008;08;serenan;723179;9844719;cd
s14247;IAT_Den;2014-08-28;2014;08;serenan;718355;9849119;cd
s1426;Wanderlust_Den;2008-08-09;2008;08;serenan;722573;9844992;cd
s1427;Redemption_Den;2008-08-09;2008;08;serenan;722500;9844773;cd
s14281;Bright_Eyes_Den;2014-09-09;2014;09;serenan;718430;9848948;cd
s14283;Bordello_Den;2014-09-10;2014;09;serenan;721485;9847576;cd
s14320;Crunk_Den;2014-09-22;2014;09;serenan;718375;9849268;cd
s14325;IAT_Den;2014-09-23;2014;09;serenan;718355;9849119;cd
s14361;J_Fab_Den;2014-10-13;2014;10;serenan;718389;9849092;cd
s14382;IAT_Den;2014-10-31;2014;10;serenan;718355;9849119;cd
s14387;IAT_Den;2014-11-02;2014;11;serenan;718355;9849119;cd
s14485;J_Fab_Den;2014-12-06;2014;12;serenan;718389;9849092;cd
s14544;Rousseau_Den;2014-01-03;2014;01;serenas;725441;9840912;cd
s1455;Bakery_Den;2008-08-24;2008;08;serenan;722709;9844770;cd
s14597;Rousseau_Den;2014-02-02;2014;02;serenas;725441;9840912;cd
s14640;Boone_Den;2014-02-18;2014;02;serenas;725499;9840852;cd
s14690;Rousseau_Den;2014-03-01;2014;03;serenas;725441;9840912;cd
s14691;Boone_Den;2014-03-02;2014;03;serenas;725499;9840852;cd
s14749;Rousseau_Den;2014-04-01;2014;04;serenas;725441;9840912;cd
s14821;Claire_Den;2014-04-24;2014;04;serenas;725383;9840846;cd
s14828;Mr._Eko_Den;2014-04-25;2014;04;serenas;725291;9840944;cd
s14831;Mr._Eko_Den;2014-05-01;2014;05;serenas;725291;9840944;cd
s14844;FML_Den;2014-05-03;2014;05;serenas;725171;9841252;cd
s14911;FML_Den;2014-06-03;2014;06;serenas;725171;9841252;cd
s14913;Temple_of_Artemis_Den;2014-06-09;2014;06;serenas;724900;9841254;cd
s14928;Zeus_Den;2014-06-17;2014;06;serenas;724943;9841096;cd
s14979;Zeus_Den;2014-07-02;2014;07;serenas;724943;9841096;cd
s15008;Polar_Bear_Den;2014-07-18;2014;07;serenas;725352;9840838;cd
s15019;Temple_of_Artemis_Den;2014-07-28;2014;07;serenas;724900;9841254;cd
s15031;Temple_of_Artemis_Den;2014-08-01;2014;08;serenas;724900;9841254;cd
s15054;Oceanic_Den;2014-08-26;2014;08;serenas;725466;9841032;cd
s15061;Oceanic_Den;2014-09-01;2014;09;serenas;725466;9841032;cd
s15101.4;Jackson's_Hole_Den;2014-09-15;2014;09;serenas;725657;9841081;cd
s15103;Dudu_Den;2014-09-20;2014;09;serenas;725634;9840969;cd
s15104;Big_Sky_Den;2014-09-20;2014;09;serenas;725670;9841131;cd
s15115;Oceanic_Den;2014-10-06;2014;10;serenas;725466;9841032;cd
s15117;Summit_Den;2014-10-06;2014;10;serenas;726881;9841004;cd
s15171;Summit_Den;2014-11-01;2014;11;serenas;726881;9841004;cd
s15177;Oceanic_Den;2014-11-05;2014;11;serenas;725466;9841032;cd
s15236;Summit_Den;2014-12-03;2014;12;serenas;726881;9841004;cd
s15241;Oceanic_Den;2014-12-04;2014;12;serenas;725466;9841032;cd
s15291;Dudu_Den;2014-12-26;2014;12;serenas;725634;9840969;cd
s15300;Oceanic_Den;2015-01-01;2015;01;serenas;725466;9841032;cd
s15305;Dudu_Den;2015-01-02;2015;01;serenas;725634;9840969;cd
s15377;Sawyer_Den;2015-01-28;2015;01;serenas;725256;9840952;cd
s15399;Colossus_of_Rhodes_Den;2015-02-05;2015;02;serenas;725114;9841436;cd
s15496;Colossus_of_Rhodes_Den;2015-03-05;2015;03;serenas;725114;9841436;cd
s1550;Heathrow_Den;2008-10-11;2008;10;serenan;719087;9840152;cd
s15506;Hanging_Gardens_Den;2015-03-05;2015;03;serenas;724783;9841530;cd
s15537;Defenestrate_Den;2015-03-13;2015;03;serenas;725405;9841812;cd
s15596;IAT_Den;2015-01-03;2015;01;serenan;718355;9849119;cd
s1562;Airstrip_Den;2008-10-31;2008;10;serenan;723463;9844931;d
s15657;J_Fab_Den;2015-01-16;2015;01;serenan;718389;9849092;cd
s15718;IAT_Den;2015-02-01;2015;02;serenan;718355;9849119;cd
s15723;J_Fab_Den;2015-02-04;2015;02;serenan;718389;9849092;cd
s15846;J_Fab_Den;2015-03-01;2015;03;serenan;718389;9849092;cd
s15946;IAT_Den;2015-03-17;2015;03;serenan;718355;9849119;cd
s16011;Whooping_Cami_Den;2015-01-02;2015;01;happyzebra;718655;9836894;cd
s16031;Summit_Den;2015-01-10;2015;01;happyzebra;726881;9841004;cd
s1605;Airstrip_Den;2008-11-08;2008;11;serenan;723463;9844931;d
s16096;Whooping_Cami_Den;2015-02-01;2015;02;happyzebra;718655;9836894;cd
s16170;Whooping_Cami_Den;2015-03-02;2015;03;happyzebra;718655;9836894;cd
s16256;Euphrates_Den;2015-03-14;2015;03;happyzebra;719599;9838284;cd
s16324;Tigris_Den;2015-03-26;2015;03;happyzebra;719693;9838330;cd
s16331;Tigris_Den;2015-04-01;2015;04;happyzebra;719693;9838330;cd
s16334;Cannibal_Cami_Den;2015-04-06;2015;04;happyzebra;718608;9836934;cd
